"Reference","Value","Footprint","LCSC"
"C1","470uF 25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","VERIFY"
"C2-C6","100nF","Capacitor_SMD:C_0805_2012Metric","C49678"
"D1","SMBJ16A","Diode_SMD:D_SMB","VERIFY"
"D5-D8","green","LED_SMD:LED_0805_2012Metric","C2297"
"D9-D11","SS34","Diode_SMD:D_SMA","C8678"
"F1","MF-RG500 5A","Fuse:Fuse_Bourns_MF-RG500","VERIFY"
"F2-F4","MF-RHT100 1A","Fuse:Fuse_Bourns_MF-RHT100","VERIFY"
"J1","12V DC in","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal",""
"J3","RPi GPIO (HAT)","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"J4","TEMP (3V3/DATA/GND)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",""
"J8","CH1 12V OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"J9","CH2 12V OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"J10","CH3 12V OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"J11","CH4 dry contact","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",""
"J13","FLOAT1 switch","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"J14","FLOAT2 switch","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"JP1","5V link (open = USB-C debug)","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"JP2","WP (close = protect)","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"K1-K4","G5LE-1-CF DC12","Relay_THT:Relay_SPDT_Omron-G5LE-1","C1524650"
"PSU1","Pololu D24V50F5 5V/5A","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"Q1","AOD403","Package_TO_SOT_SMD:TO-252-2","C28969"
"R1","100k","Resistor_SMD:R_0805_2012Metric","C17407"
"R2","4.7k","Resistor_SMD:R_0805_2012Metric","C17673"
"R3,R4","3.9k","Resistor_SMD:R_0805_2012Metric","C26010"
"R5-R8","2.2k","Resistor_SMD:R_0805_2012Metric","C17520"
"R9-R11","10k","Resistor_SMD:R_0805_2012Metric","C17414"
"R12,R13","1k","Resistor_SMD:R_0805_2012Metric","C17513"
"U2","TBD62003AFG","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C163227"
"U4","CAT24C32","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","VERIFY"
"U5","5V ESD clamp (SOD-323)","Diode_SMD:D_SOD-323","VERIFY"
