Designator,Mid X,Mid Y,Layer,Rotation
C1,29.0000mm,-32.0000mm,Bottom,-90.000000
C2,29.0000mm,-40.0000mm,Bottom,-90.000000
C3,10.6000mm,-22.5000mm,Bottom,-90.000000
C4,41.7000mm,-25.5000mm,Bottom,0.000000
C5,41.7000mm,-10.0000mm,Bottom,0.000000
C6,41.7000mm,-12.5000mm,Bottom,0.000000
D1,29.0000mm,-21.5000mm,Bottom,-90.000000
D5,53.5000mm,-12.0000mm,Bottom,0.000000
D6,53.5000mm,-15.0000mm,Bottom,0.000000
D7,53.5000mm,-18.0000mm,Bottom,0.000000
D8,53.5000mm,-21.0000mm,Bottom,0.000000
D9,51.5000mm,-25.0000mm,Bottom,0.000000
D10,51.5000mm,-30.0000mm,Bottom,0.000000
D11,51.5000mm,-35.0000mm,Bottom,0.000000
Q1,29.0000mm,-13.0000mm,Bottom,-90.000000
R1,26.0000mm,-41.2000mm,Bottom,0.000000
R2,6.3000mm,-19.5000mm,Bottom,-90.000000
R3,40.5000mm,-28.5000mm,Bottom,-90.000000
R4,43.0000mm,-28.5000mm,Bottom,-90.000000
R5,49.5000mm,-12.0000mm,Bottom,0.000000
R6,49.5000mm,-15.0000mm,Bottom,0.000000
R7,49.5000mm,-18.0000mm,Bottom,0.000000
R8,49.5000mm,-21.0000mm,Bottom,0.000000
R9,40.5000mm,-32.5000mm,Bottom,-90.000000
R10,50.0000mm,-39.0000mm,Bottom,0.000000
R11,50.0000mm,-41.3000mm,Bottom,0.000000
R12,54.0000mm,-39.0000mm,Bottom,0.000000
R13,54.0000mm,-41.3000mm,Bottom,0.000000
U2,9.0000mm,-41.5000mm,Bottom,0.000000
U4,41.7000mm,-20.0000mm,Bottom,-90.000000
U5,7.3000mm,-23.0000mm,Bottom,0.000000
