Ref,Val,Package,PosX,PosY,Rot,Side
"C2","C_0805_2012Metric","C_0805_2012Metric",31.800000,-40.000000,-90.000000,bottom
"C3","C_0805_2012Metric","C_0805_2012Metric",10.600000,-22.500000,-90.000000,bottom
"C4","C_0805_2012Metric","C_0805_2012Metric",41.700000,-25.500000,0.000000,bottom
"C5","C_0805_2012Metric","C_0805_2012Metric",41.700000,-10.000000,0.000000,bottom
"C6","C_0805_2012Metric","C_0805_2012Metric",41.700000,-12.500000,0.000000,bottom
"C7","C_0805_2012Metric","C_0805_2012Metric",31.500000,-11.200000,-90.000000,bottom
"C8","C_1206_3216Metric","C_1206_3216Metric",27.300000,-7.800000,0.000000,bottom
"C10","C_0805_2012Metric","C_0805_2012Metric",31.800000,-7.800000,0.000000,bottom
"C11","C_1210_3225Metric","C_1210_3225Metric",26.500000,-30.500000,-90.000000,bottom
"C12","C_1210_3225Metric","C_1210_3225Metric",30.500000,-30.500000,-90.000000,bottom
"C16","C_1206_3216Metric","C_1206_3216Metric",27.200000,-36.200000,0.000000,bottom
"D1","D_SMB","D_SMB",54.300000,-16.000000,-90.000000,bottom
"D9","D_SMA","D_SMA",51.500000,-25.000000,0.000000,bottom
"D10","D_SMA","D_SMA",51.500000,-30.000000,0.000000,bottom
"D11","D_SMA","D_SMA",51.500000,-35.000000,0.000000,bottom
"J3","PinSocket_2x20_P2.54mm_Vertical","PinSocket_2x20_P2.54mm_Vertical",8.370000,-4.770000,-90.000000,bottom
"L1","L_Vishay_IHLP-2525","L_Vishay_IHLP-2525",28.600000,-16.800000,0.000000,bottom
"Q1","TO-252-2","TO-252-2",23.000000,-44.800000,0.000000,bottom
"R1","R_0805_2012Metric","R_0805_2012Metric",19.000000,-39.900000,0.000000,bottom
"R2","R_0805_2012Metric","R_0805_2012Metric",6.300000,-19.500000,-90.000000,bottom
"R3","R_0805_2012Metric","R_0805_2012Metric",40.500000,-28.500000,-90.000000,bottom
"R4","R_0805_2012Metric","R_0805_2012Metric",43.000000,-28.500000,-90.000000,bottom
"R5","R_0805_2012Metric","R_0805_2012Metric",49.500000,-12.000000,0.000000,bottom
"R6","R_0805_2012Metric","R_0805_2012Metric",49.500000,-15.000000,0.000000,bottom
"R7","R_0805_2012Metric","R_0805_2012Metric",49.500000,-18.000000,0.000000,bottom
"R8","R_0805_2012Metric","R_0805_2012Metric",49.500000,-21.000000,0.000000,bottom
"R9","R_0805_2012Metric","R_0805_2012Metric",40.500000,-32.500000,-90.000000,bottom
"R10","R_0805_2012Metric","R_0805_2012Metric",50.000000,-39.000000,0.000000,bottom
"R11","R_0805_2012Metric","R_0805_2012Metric",50.000000,-41.300000,0.000000,bottom
"R12","R_0805_2012Metric","R_0805_2012Metric",54.000000,-39.000000,0.000000,bottom
"R13","R_0805_2012Metric","R_0805_2012Metric",54.000000,-41.300000,0.000000,bottom
"R16","R_0805_2012Metric","R_0805_2012Metric",25.500000,-34.000000,0.000000,bottom
"R17","R_0805_2012Metric","R_0805_2012Metric",31.200000,-34.000000,0.000000,bottom
"R19","R_0805_2012Metric","R_0805_2012Metric",16.000000,-34.500000,-90.000000,bottom
"R20","R_0805_2012Metric","R_0805_2012Metric",16.000000,-38.500000,-90.000000,bottom
